Año;Mes;Moneda;Partida;Nombre Partida;Capítulo;Nombre Capítulo;Programa;Nombre Programa;Subtítulo;Nombre Subtítulo;Item;Nombre Item;Asignación;Nombre Asignación;Monto Ley Inicial;Monto Ley Vigente a DICIEMBRE
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;09;APORTE FISCAL;;;;;79.918;72.899
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;09;APORTE FISCAL;01;Libre;;;79.918;72.899
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;11;VENTA DE ACTIVOS FINANCIEROS;;;;;0;-44.971
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;11;VENTA DE ACTIVOS FINANCIEROS;03;Operaciones de Cambio;;;0;-44.971
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;12;RECUPERACIÓN DE PRÉSTAMOS;;;;;120;120
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;12;RECUPERACIÓN DE PRÉSTAMOS;07;Por Anticipos por Cambio de Residencia;;;120;120
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;15;SALDO INICIAL DE CAJA;;;;;0;23.102
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;21;GASTOS EN PERSONAL;;;;;6.158;5.947
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;22;BIENES Y SERVICIOS DE CONSUMO;;;;;39.980;28.600
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;;;;;33.780;16.483
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;03;Vehículos;;;33.780;15.199
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;04;Mobiliario y Otros;;;0;10
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;05;Máquinas y Equipos;;;0;1.204
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;07;Programas Informáticos;;;0;70
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;32;PRÉSTAMOS;;;;;120;120
2018;Diciembre;DOLARES;05;MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA;31;CARABINEROS DE CHILE;01;CARABINEROS DE CHILE;32;PRÉSTAMOS;07;Por Anticipos por Cambio de Residencia;;;120;120
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;08;OTROS INGRESOS CORRIENTES;;;;;2.714;2.714
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;08;OTROS INGRESOS CORRIENTES;99;Otros;;;2.714;2.714
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;09;APORTE FISCAL;;;;;184.377;179.815
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;09;APORTE FISCAL;01;Libre;;;184.377;179.815
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;10;VENTA DE ACTIVOS NO FINANCIEROS;;;;;160;160
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;10;VENTA DE ACTIVOS NO FINANCIEROS;03;Vehículos;;;160;160
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;11;VENTA DE ACTIVOS FINANCIEROS;;;;;2.627;-1.109
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;11;VENTA DE ACTIVOS FINANCIEROS;03;Operaciones de Cambio;;;2.627;-1.109
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;12;RECUPERACIÓN DE PRÉSTAMOS;;;;;250;250
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;12;RECUPERACIÓN DE PRÉSTAMOS;07;Por Anticipos por Cambio de Residencia;;;250;250
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;15;SALDO INICIAL DE CAJA;;;;;0;247
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;21;GASTOS EN PERSONAL;;;;;88.858;84.817
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;22;BIENES Y SERVICIOS DE CONSUMO;;;;;42.388;40.683
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;23;PRESTACIONES DE SEGURIDAD SOCIAL;;;;;300;540
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;23;PRESTACIONES DE SEGURIDAD SOCIAL;03;Prestaciones Sociales del Empleador;;;300;540
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;;;;;53.734;51.226
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;01;Al Sector Privado;;;126;126
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;01;Al Sector Privado;003;Comunidades de Chilenos en el Exterior;36;36
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;01;Al Sector Privado;004;Consejo Chile - California;90;90
2018;Diciembre;DOLARES;06;MINISTERIO DE RELACIONES EXTERIORES;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;01;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;24;TRANSFERENCIAS CORRIENTES;03;A Otras Entidades Públicas;;;3.286;3.278
